Age,Total Internet Usage(hrs/day),Time Spent in Academic(hrs/day),Academic Institution,Effectiveness Of Internet Usage,Household Internet Facilities,Time Of Internet Browsing,Frequency Of Internet Usage,Place Of Student's Residence,Purpose Of Internet Use,Browsing Purpose,Webinar,Priority Of Learning On The Internet,Internet Usage For Educational Purpose
17,2,6,0,3,1,0,1,1,1,0,0,3,4
17,3,3,0,2,1,3,0,1,3,0,0,2,3
18,5,2,0,3,1,3,2,1,2,1,0,3,2
15,6,0,0,0,1,3,2,1,2,1,0,2,0
17,7,0,0,0,1,3,2,1,2,1,0,5,1
17,5,1,0,2,0,3,0,1,5,1,0,3,1
17,3,2,0,3,0,3,0,1,4,1,0,2,1
17,4,3,0,2,1,3,0,1,3,0,0,2,0
17,7,1,0,2,1,0,2,1,5,1,0,2,3
17,2,5,0,3,1,3,0,1,1,0,1,1,2
17,5,0,0,2,1,3,0,2,2,1,0,3,1
17,8,1,0,0,1,3,0,1,2,1,0,5,2
17,3,5,0,3,1,3,0,1,1,0,1,0,0
17,6,2,0,0,0,0,2,1,5,0,0,1,0
17,1,8,0,0,1,0,0,1,1,0,1,0,3
17,8,0,0,0,0,0,0,1,2,1,0,1,4
17,8,0,0,2,1,3,2,1,5,1,0,5,2
17,5,2,0,0,1,3,0,1,5,1,1,5,1
15,4,1,0,0,1,3,0,1,2,1,0,5,1
18,4,2,0,3,1,3,2,1,3,0,0,3,4
17,6,2,0,3,1,3,0,1,2,0,0,4,4
17,8,1,0,0,1,0,0,2,5,1,0,2,1
17,2,1,0,2,1,0,2,1,4,0,0,0,4
15,1,7,1,3,1,3,0,1,1,0,0,4,3
14,4,0,1,3,1,3,0,2,5,1,0,5,1
16,5,0,1,1,1,3,2,1,2,1,0,4,4
14,0,6,1,3,1,2,0,1,1,1,0,2,0
14,2,5,1,3,1,3,0,1,1,0,0,5,2
15,1,7,1,2,1,3,2,1,1,0,0,2,0
14,0,6,1,3,1,3,1,1,1,1,0,1,4
14,3,6,1,3,1,3,2,1,2,0,0,0,4
14,2,8,1,1,0,3,1,1,1,0,0,1,4
15,2,0,1,3,1,3,2,1,1,0,0,2,4
14,0,5,1,3,1,2,2,1,1,0,0,1,2
15,0,6,1,2,0,3,0,1,1,1,0,0,1
15,2,6,1,2,1,3,2,2,1,0,0,0,4
15,3,8,1,2,1,3,0,1,1,0,0,1,0
15,2,6,1,3,1,3,2,1,1,1,0,0,1
14,4,2,1,2,1,1,0,1,4,1,0,4,2
14,2,5,1,2,0,3,2,1,1,0,0,5,3
16,7,2,1,3,1,3,0,1,2,1,0,2,1
15,2,5,1,3,1,3,1,1,1,1,0,4,2
15,6,2,1,3,1,3,0,1,2,0,0,5,0
15,1,8,1,3,1,3,2,2,1,0,0,0,4
14,2,5,1,2,1,3,0,1,1,0,0,1,4
15,2,6,1,3,1,3,2,2,1,0,0,1,0
15,0,8,1,3,1,3,2,1,1,0,0,4,2
15,3,6,1,3,1,3,2,1,2,0,0,1,4
14,2,7,1,2,1,3,2,1,1,0,0,0,3
14,2,2,1,3,1,3,0,1,4,0,0,0,4
15,8,2,1,3,1,3,0,1,2,1,0,2,0
15,2,6,1,3,1,3,0,1,1,0,0,3,0
14,1,2,1,3,1,3,0,1,2,0,0,4,3
14,7,0,1,3,1,3,0,2,4,0,0,5,2
14,1,8,1,3,1,3,0,1,3,0,0,1,2
15,1,2,1,3,1,3,0,1,2,0,0,3,2
14,3,6,1,3,1,2,0,2,3,1,0,0,1
15,0,6,1,3,1,3,1,1,5,0,0,1,2
14,0,5,1,3,1,3,0,1,1,0,0,0,3
14,3,6,1,3,1,3,2,1,4,0,0,0,4
15,3,6,1,3,1,3,2,1,3,0,0,1,2
15,0,8,1,3,1,3,2,2,1,0,0,5,0
15,2,2,1,3,1,3,0,1,2,0,0,1,0
14,2,5,1,3,0,3,0,1,1,0,0,3,0
14,1,5,1,3,1,3,2,1,1,0,0,0,0
15,0,5,1,3,1,3,0,1,1,0,0,2,4
14,2,8,1,3,1,3,0,1,1,0,0,5,4
15,4,5,1,3,1,3,0,1,2,1,0,3,0
14,3,6,1,3,1,3,0,1,1,0,0,1,4
17,0,8,1,1,1,3,2,0,4,1,0,0,2
15,3,5,1,3,1,3,0,1,1,1,0,2,1
15,3,6,1,3,1,3,2,2,1,0,0,0,3
14,3,8,1,3,1,3,2,0,1,0,0,0,3
15,4,0,1,3,1,3,2,1,2,0,0,5,4
15,2,7,1,3,1,3,2,1,1,0,0,1,0
15,1,7,1,3,1,3,2,1,1,0,0,1,3
14,2,6,1,2,1,3,0,1,1,0,0,4,2
15,6,0,1,3,1,3,2,1,5,0,0,2,3
14,2,8,1,3,1,3,0,1,4,1,0,0,2
15,1,1,1,3,1,0,0,1,4,0,0,4,0
15,0,8,1,3,1,3,2,1,1,0,0,1,0
15,0,6,1,3,1,3,2,1,1,0,0,4,3
14,0,8,1,3,1,2,1,2,1,0,0,0,3
14,1,8,1,3,1,2,2,1,1,0,0,0,3
14,3,6,1,3,1,3,0,1,1,0,0,0,3
15,0,7,1,3,1,3,2,1,1,0,0,2,4
14,7,2,1,1,1,3,2,1,2,1,0,5,4
15,2,6,1,2,1,3,0,1,1,0,0,0,2
15,2,5,1,3,1,3,0,2,1,1,0,1,1
14,0,7,1,3,1,3,0,2,3,0,0,0,4
14,3,7,1,3,1,3,2,1,1,0,0,0,4
14,3,5,1,2,1,3,2,1,1,0,0,2,0
14,1,6,1,3,0,1,2,1,1,0,0,1,3
15,0,4,1,3,1,3,2,1,1,1,0,0,4
16,8,0,1,3,1,3,0,1,2,0,0,4,4
14,5,1,1,3,1,3,0,2,2,0,0,4,0
15,0,7,1,3,1,3,0,1,1,0,0,1,4
14,0,8,1,3,1,3,0,1,1,0,0,1,0
15,2,4,1,3,1,3,2,1,2,0,0,0,4
15,7,1,1,2,1,3,2,1,5,1,0,2,1
15,6,2,1,3,1,3,0,1,5,0,0,0,4
15,3,5,1,3,1,3,2,1,1,0,0,1,4
14,1,2,1,3,1,0,2,2,2,0,0,5,0
15,2,1,1,2,0,3,2,1,5,0,0,0,3
15,1,5,1,3,1,3,2,1,1,1,0,0,1
14,1,1,1,3,1,3,0,2,5,0,0,4,3
15,3,5,1,3,1,3,0,1,5,0,0,0,3
15,2,7,1,3,1,3,2,1,2,0,0,1,0
14,4,1,1,2,1,0,0,1,3,0,0,3,0
15,1,5,1,3,1,3,0,1,1,1,0,1,4
14,8,1,1,2,1,0,0,1,5,0,0,5,0
14,2,5,1,2,1,3,2,1,3,0,0,0,3
17,6,2,1,3,1,0,0,1,5,1,0,5,1
15,2,8,1,2,1,1,2,1,1,0,0,4,0
15,2,6,1,3,1,3,2,1,1,0,0,0,2
14,7,0,1,1,1,3,2,2,5,1,0,1,1
14,3,7,1,3,1,3,2,1,1,0,0,1,4
14,0,8,1,3,1,3,0,1,1,0,0,0,4
14,8,0,1,3,1,3,0,1,3,0,0,4,2
14,0,6,1,3,1,3,0,1,1,1,0,0,4
14,0,5,1,3,1,3,2,2,1,0,0,0,0
14,7,0,1,3,1,3,1,2,4,0,0,2,0
14,2,7,1,3,0,3,0,1,1,1,0,1,3
15,1,7,1,3,1,3,2,1,1,0,0,5,3
14,8,1,1,3,1,3,2,1,5,1,0,0,1
17,2,6,1,1,1,3,0,0,1,0,0,0,4
14,1,8,1,2,1,3,0,2,1,0,0,0,0
14,7,2,1,3,1,3,1,2,2,1,0,5,1
15,0,8,1,3,1,3,2,1,1,0,0,0,4
17,0,5,1,3,1,1,2,1,1,0,0,1,4
14,3,5,1,3,1,3,2,1,1,0,0,5,0
16,0,8,1,3,1,3,2,2,1,0,0,3,3
15,4,0,1,1,1,3,2,1,2,1,0,4,4
14,1,6,1,3,1,0,2,2,1,0,0,0,0
14,1,8,1,2,0,3,0,1,1,0,0,0,3
14,0,5,1,3,1,0,0,2,5,0,0,0,4
15,0,8,1,2,1,1,0,1,1,0,0,4,0
14,0,7,1,3,0,1,2,1,5,0,0,1,2
14,2,3,1,3,1,3,0,1,1,0,0,1,3
15,1,1,1,3,1,3,0,1,2,0,0,2,2
14,2,2,1,3,1,3,2,1,2,0,0,5,4
14,3,8,1,2,1,3,0,1,1,0,0,0,2
17,7,2,1,3,1,0,0,1,2,1,0,4,1
14,0,8,1,3,1,0,2,2,4,0,0,3,4
14,8,0,1,3,1,3,0,1,4,1,0,5,0
14,8,1,1,1,1,3,0,1,2,0,0,0,4
15,8,1,1,2,1,3,0,1,2,1,0,4,1
14,2,7,1,3,1,3,0,1,2,0,0,3,4
14,3,8,1,3,1,3,2,1,1,1,0,3,1
14,8,2,1,3,1,3,2,1,5,1,0,2,0
14,2,1,1,3,1,3,2,2,2,0,0,0,3
15,1,6,1,3,1,3,2,1,1,0,0,0,2
15,3,6,1,3,1,3,2,1,1,0,0,2,3
14,3,8,1,3,1,3,0,2,4,0,0,0,4
15,5,0,1,3,1,3,0,1,2,1,0,3,1
14,6,0,1,3,1,3,2,1,4,1,0,2,3
14,0,6,1,2,1,3,2,1,1,0,0,0,4
15,0,5,1,3,1,3,2,1,1,0,0,0,4
15,0,6,1,3,1,3,2,1,1,1,0,0,2
15,0,8,1,3,1,3,2,1,1,0,0,1,0
14,0,7,1,3,1,3,2,1,1,0,0,3,3
15,3,8,1,3,1,3,2,1,3,0,0,0,0
14,1,4,1,3,1,0,0,2,1,0,0,0,2
15,8,2,1,3,1,3,0,2,2,0,0,4,2
14,5,0,1,3,1,3,2,2,3,1,0,3,1
14,3,6,1,3,1,3,2,1,1,0,0,1,0
14,8,2,1,2,1,1,0,1,4,1,0,5,1
15,1,5,1,3,1,3,0,1,1,0,0,0,4
14,2,8,1,3,1,3,1,1,1,0,0,0,0
14,2,7,1,2,1,3,2,1,1,0,0,0,3
17,2,2,1,3,1,3,0,2,2,0,0,3,0
14,1,8,1,2,1,3,0,1,1,0,0,1,4
15,2,6,1,2,1,3,0,1,1,0,0,0,0
14,3,8,1,1,0,3,2,1,1,0,0,1,0
14,6,1,1,3,1,3,2,1,2,0,0,0,4
15,7,2,1,1,1,3,0,1,2,1,0,2,3
14,2,7,1,3,1,3,0,0,2,0,0,1,4
16,0,5,1,3,1,3,2,2,1,0,0,0,2
14,2,1,1,3,1,3,0,1,4,0,0,1,4
14,1,7,1,3,1,3,0,1,1,1,0,1,0
14,8,0,1,3,1,3,2,2,5,1,0,4,2
17,0,8,1,3,1,1,2,1,3,0,0,4,2
15,3,7,1,3,1,3,0,1,1,0,0,0,0
14,3,7,1,3,1,3,2,1,1,0,0,5,0
14,5,2,1,2,1,2,0,1,3,0,0,3,2
14,3,5,1,3,1,3,0,2,1,0,0,2,0
14,0,5,1,3,1,3,2,1,2,1,0,1,0
15,2,6,1,3,1,3,0,1,1,0,0,1,0
14,1,3,1,3,1,3,0,1,1,0,0,1,2
14,1,7,1,3,0,1,0,1,1,0,0,0,4
14,5,1,1,3,1,3,0,1,1,0,0,3,0
15,2,6,1,3,1,3,2,2,1,0,0,0,2
15,2,1,1,3,1,0,2,1,4,0,0,3,0
14,8,0,1,3,1,3,2,1,1,1,0,2,4
14,1,8,1,2,1,3,1,2,1,0,0,4,0
14,6,0,1,2,1,1,0,1,3,0,0,2,0
15,8,2,1,3,1,3,2,1,2,0,0,4,0
15,7,0,1,2,1,3,0,1,2,0,0,4,0
15,3,3,1,3,1,3,2,1,3,0,0,2,2
14,3,5,1,3,1,3,0,1,1,0,0,1,2
15,0,5,1,2,1,3,2,1,1,0,0,0,3
15,1,3,1,3,1,3,0,1,5,0,0,5,0
14,7,0,1,3,1,3,1,1,2,1,0,2,1
14,7,2,1,3,1,3,0,1,1,1,0,5,4
15,4,1,1,3,1,3,2,1,1,1,0,4,1
14,3,8,1,3,1,3,2,1,1,1,0,1,1
14,8,2,1,3,1,3,0,1,5,0,0,2,0
14,1,4,1,3,1,3,2,1,1,0,0,2,2
15,2,8,1,3,1,3,1,1,1,0,0,1,0
14,1,8,1,3,1,3,0,1,1,0,0,0,3
15,2,6,1,3,1,3,2,1,1,0,0,1,0
17,3,7,1,3,1,3,2,2,1,0,0,1,0
14,8,2,1,3,1,3,0,1,5,0,0,5,4
15,4,1,1,3,1,3,0,1,1,1,0,4,3
15,4,1,1,2,1,3,2,1,5,1,0,2,1
17,0,7,1,1,1,3,2,0,1,0,0,3,2
15,3,6,1,3,1,3,2,1,1,0,0,2,4
14,4,2,1,3,1,3,0,1,3,1,0,2,1
14,2,8,1,3,1,3,0,1,2,0,0,0,4
15,1,1,1,3,1,3,2,2,2,0,0,4,0
15,3,8,1,2,1,3,2,1,2,0,0,1,4
15,0,6,1,2,1,3,0,1,1,0,0,1,2
