Gender,Age,Popular Website,Proficiency,Medium,Location,Household Internet Facilities,Browse Time,Browsing Status,Residence,Total Internet Usage(hrs/day),Time Spent in Academic(hrs/day),Purpose of Use,Years of Internet Use,Browsing Purpose,Priority of Learning,Webinar,Internet Usage For Educational Purpose,Academic Performance,Obstacles
Male,14,Facebook,Very Good,Mobile,Home,Not Connected,Night,Daily,Town,0,5,Education,2,Academic,Academic Learning,No,E-books or other Media files,Good,High Price
Male,14,Google,Very Good,Mobile,Home,Not Connected,Night,Weekly,Town,3,6,Online Shopping,2,Academic,Academic Learning,No,Notes or lectures for academical purpose,Good,Bad Service
Male,15,Youtube,Very Good,Mobile,Home,Not Connected,Night,Weekly,Town,3,6,News,3,Academic,Career Opportunity,No,Courses Available on specific topics,Good,Bad Service
Male,15,Google,Very Good,Mobile,Home,Not Connected,Night,Weekly,Village,0,8,Education,1,Academic,Non-academic Learning,No,Articles or Blogs related to academical studies,Good,Bad Service
Female,15,Youtube,Very Good,Laptop and Mobile,Home,Not Connected,Night,Daily,Town,2,2,Entertainment,4,Academic,Career Opportunity,No,Articles or Blogs related to academical studies,Good,Bad Service
Male,14,Facebook,Very Good,Laptop and Mobile,School,Connected,Night,Daily,Town,2,5,Education,3,Academic,Creativity and Innovative Skills,No,Articles or Blogs related to academical studies,Good,Bad Service
Male,14,Whatsapp,Very Good,Mobile,Home,Not Connected,Night,Weekly,Town,1,5,Education,1,Academic,Academic Learning,No,Articles or Blogs related to academical studies,Good,High Price
Male,15,Google,Very Good,Mobile,Home,Not Connected,Night,Daily,Town,0,5,Education,2,Academic,Communication Skills,No,Notes or lectures for academical purpose,Satisfactory,Bad Service
Male,14,Google,Very Good,Mobile,Home,Not Connected,Night,Daily,Town,2,8,Education,2,Academic,Non-academic Learning,No,Notes or lectures for academical purpose,Good,Bad Service
Male,15,Google,Very Good,Mobile,Home,Not Connected,Night,Daily,Town,4,5,Entertainment,1,Non-academic,Creativity and Innovative Skills,No,Articles or Blogs related to academical studies,Satisfactory,High Price
Male,14,Youtube,Very Good,Mobile,Home,Not Connected,Night,Daily,Town,3,6,Education,2,Academic,Career Opportunity,No,Notes or lectures for academical purpose,Good,High Price
Male,17,Youtube,Not at all,Mobile,Home,Not Connected,Night,Weekly,Remote,0,8,Online Shopping,2,Non-academic,Academic Learning,No,Courses Available on specific topics,Good,Bad Service
Male,15,Google,Very Good,Mobile,Home,Not Connected,Night,Daily,Town,3,5,Education,4,Non-academic,Communication Skills,No,Articles or Blogs related to non-academical studies,Satisfactory,High Price
Female,15,Facebook,Very Good,Mobile,Home,Not Connected,Night,Weekly,Village,3,6,Education,3,Academic,Academic Learning,No,E-books or other Media files,Good,Bad Service
Male,14,Whatsapp,Very Good,Mobile,Home,Not Connected,Night,Weekly,Remote,3,8,Education,2,Academic,Academic Learning,No,E-books or other Media files,Good,Bad Service
Male,15,Google,Very Good,Mobile,Home,Not Connected,Night,Weekly,Town,4,0,Entertainment,1,Academic,Non-academic Learning,No,Notes or lectures for academical purpose,Not Satisfactory,Bad Service
Male,15,Google,Very Good,Mobile,Home,Not Connected,Night,Weekly,Town,2,7,Education,1,Academic,Career Opportunity,No,Articles or Blogs related to academical studies,Good,Bad Service
Male,15,Google,Very Good,Mobile,Home,Not Connected,Night,Weekly,Town,1,7,Education,2,Academic,Career Opportunity,No,E-books or other Media files,Good,Bad Service
Male,14,Facebook,Average,Mobile,Home,Not Connected,Night,Daily,Town,2,6,Education,2,Academic,Leadership Development,No,Courses Available on specific topics,Good,High Price
Male,15,Facebook,Very Good,Mobile,Home,Not Connected,Night,Weekly,Town,6,0,Social Media,4,Academic,Communication Skills,No,E-books or other Media files,Average,Unavailability
Male,14,Facebook,Very Good,Mobile,Home,Not Connected,Night,Daily,Town,2,8,Online Shopping,3,Non-academic,Academic Learning,No,Courses Available on specific topics,Good,Bad Service
Female,15,Whatsapp,Very Good,Mobile,Home,Not Connected,Day,Daily,Town,1,1,Online Shopping,1,Academic,Leadership Development,No,Articles or Blogs related to academical studies,Average,High Price
Female,15,Youtube,Very Good,Mobile,Home,Not Connected,Night,Weekly,Town,0,8,Education,3,Academic,Career Opportunity,No,Articles or Blogs related to academical studies,Good,Bad Service
Male,15,Youtube,Very Good,Mobile,Home,Not Connected,Night,Weekly,Town,0,6,Education,1,Academic,Leadership Development,No,E-books or other Media files,Good,Bad Service
Male,14,Whatsapp,Very Good,Mobile,Home,Not Connected,Morning,Monthly,Village,0,8,Education,2,Academic,Academic Learning,No,E-books or other Media files,Good,Unavailability
Male,14,Facebook,Very Good,Mobile,Home,Not Connected,Morning,Weekly,Town,1,8,Education,1,Academic,Academic Learning,No,E-books or other Media files,Good,Unavailability
Male,14,Youtube,Very Good,Mobile,Home,Not Connected,Night,Daily,Town,3,6,Education,2,Academic,Academic Learning,No,E-books or other Media files,Good,Bad Service
Female,15,Whatsapp,Very Good,Mobile,Home,Not Connected,Night,Weekly,Town,0,7,Education,2,Academic,Communication Skills,No,Notes or lectures for academical purpose,Good,Bad Service
Female,14,Facebook,Not at all,Mobile,Home,Not Connected,Night,Weekly,Town,7,2,Entertainment,1,Non-academic,Non-academic Learning,No,Notes or lectures for academical purpose,Not Satisfactory,High Price
Male,15,Google,Average,Mobile,Cyber Cafe,Not Connected,Night,Daily,Town,2,6,Education,1,Academic,Academic Learning,No,Courses Available on specific topics,Satisfactory,Bad Service
Male,15,Google,Very Good,Laptop and Mobile,Home,Not Connected,Night,Daily,Village,2,5,Education,1,Non-academic,Career Opportunity,No,Articles or Blogs related to non-academical studies,Good,Bad Service
Male,14,Whatsapp,Very Good,Mobile,Home,Not Connected,Night,Daily,Village,0,7,News,3,Academic,Academic Learning,No,Notes or lectures for academical purpose,Good,High Price
Male,14,Google,Very Good,Mobile,Home,Not Connected,Night,Weekly,Town,3,7,Education,3,Academic,Academic Learning,No,Notes or lectures for academical purpose,Good,Bad Service
Female,14,Google,Average,Mobile,Home,Not Connected,Night,Weekly,Town,3,5,Education,2,Academic,Communication Skills,No,Articles or Blogs related to academical studies,Good,High Price
